Fichier,Chanteur,Chanson
Shy'm - Victoire.mp4,Shy'm,Victoire
Julien Clerc - La Californie.mp4,Julien Clerc,La Californie
Mylène Farmer - Ainsi soit je....mp4,Mylène Farmer,Ainsi soit je
Salvatore Adamo - Jusqu'à l'amour.mp4,Salvatore Adamo,Jusqu'à l'amour
"Soldat Louis - Du rhum, des femmes.mp4",Soldat Louis,"Du rhum, des femmes"
Marilyn Monroe - Diamonds are a girl's best friend (Jazzy).mp4,Marilyn Monroe,Diamonds are a girl's best friend (Jazzy)
Alain Bashung - Vertige de l'amour.mp4,Alain Bashung,Vertige de l'amour
Fernandel - Si tu touches à mon oiseau.mp4,Fernandel,Si tu touches à mon oiseau
Luciano Pavarotti - Non ti scordar di me.mp4,Luciano Pavarotti,Non ti scordar di me
Patrick Sébastien - Les sardines.mp4,Patrick Sébastien,Les sardines
Eddy Mitchell - Garde-moi la dernière danse.mp4,Eddy Mitchell,Garde-moi la dernière danse
Francky Vincent - Fruit de la passion (Vas-y Francky c'est bon).mp4,Francky Vincent,Fruit de la passion (Vas-y Francky c'est bon)
Bob Seger - Night moves wvocals.mp4,Bob Seger,Night moves wvocals
Dan Fogelberg - Run for the roses.mp4,Dan Fogelberg,Run for the roses
Liane Foly - Va savoir.mp4,Liane Foly,Va savoir
PMV09-08 - Backstreet Boys - The One.mp4,Backstreet Boys,The One
Roy Orbison - Blue Angel.mp4,Roy Orbison,Blue Angel
Celine Dion - The power of love.mp4,Celine Dion,The power of love
Cole Porter - It's De-Lovely.mp4,Cole Porter,It's De-Lovely
Tri Yann - Les prisons de Nantes.mp4,Tri Yann,Les prisons de Nantes
Sacha Distel - La belle vie.mp4,Sacha Distel,La belle vie
The Big Bopper - Chantilly lace.mp4,The Big Bopper,Chantilly lace
Maurice Chevalier - Thank Heaven For Little Girls.mp4,Maurice Chevalier,Thank Heaven For Little Girls
Johnny Cash - I Walk The Line.mp4,Johnny Cash,I Walk The Line
Connie Francis - Where The Boys Are.mp4,Connie Francis,Where The Boys Are
Frank Sinatra - Didn't we.mp4,Frank Sinatra,Didn't we
Children's - She'll be coming around the mountain wvocals.mp4,Children's,She'll be coming around the mountain wvocals
Herbert Léonard - Ca donne envie d'aimer.mp4,Herbert Léonard,Ca donne envie d'aimer
Julien Clerc - Hélène.mp4,Julien Clerc,Hélène
Pinocchio - T'es pas cap.mp4,Pinocchio,T'es pas cap
Spanish - Guantanamera - Cuban Classic wvocals.mp4,Guantanamera,Cuban Classic wvocals
Showtunes - (Annie) The sun will come out Tomorrow.mp4,Showtunes,(Annie) The sun will come out Tomorrow
Hank Williams - Your cheatin' heart.mp4,Hank Williams,Your cheatin' heart
Frank Sinatra - Fly me to the moon.mp4,Frank Sinatra,Fly me to the moon
Felix Gray - Te revoir à Madrid.mp4,Felix Gray,Te revoir à Madrid
Serge Lama - Chez moi.mp4,Serge Lama,Chez moi
Pierre Bachelet - Partis avant d'avoir tout dit.mp4,Pierre Bachelet,Partis avant d'avoir tout dit
Bob Marley - Jammin'.mp4,Bob Marley,Jammin'
Michel Sardou - Les villes de solitude.mp4,Michel Sardou,Les villes de solitude
Showtunes - Almost Like Being In Love Wfemale Vocals.mp4,Showtunes,Almost Like Being In Love Wfemale Vocals
Georges Guétary - Le p'tit bal du samedi soir.mp4,Georges Guétary,Le p'tit bal du samedi soir
Zaz - Champs Elysées.mp4,Zaz,Champs Elysées
Salvatore Adamo - T'aimer quelque part (avec Amélie Adamo).mp4,Salvatore Adamo,T'aimer quelque part (avec Amélie Adamo)
Musique Polonaise 2 _ Polacy We Francji.mp4,Musique Polonaise 2 _ Polacy We Francji.mp4,
Lucienne Boyer - Parlez-moi d'amour.mp4,Lucienne Boyer,Parlez-moi d'amour
Grease - 17 It's Raining On Prom Night -  (wvocals).mp4,17 It's Raining On Prom Night, (wvocals)
Daniel Balavoine - Vendeurs de larmes.mp4,Daniel Balavoine,Vendeurs de larmes
Corynne Charby - Pile ou face.mp4,Corynne Charby,Pile ou face
Charles Dumont - Ta cigarette après l'amour.mp4,Charles Dumont,Ta cigarette après l'amour
Julio Iglesias - Aimer la vie.mp4,Julio Iglesias,Aimer la vie
Earth Wind & Fire - Shining Star.mp4,Earth Wind & Fire,Shining Star
Frank Sinatra - My Kind Of Town Chicago.mp4,Frank Sinatra,My Kind Of Town Chicago
Nini Ferrer - Le sud.mp4,Nini Ferrer,Le sud
Johnny Hallyday - J'oublierai ton nom.mp4,Johnny Hallyday,J'oublierai ton nom
Fernandel - Ignace.mp4,Fernandel,Ignace
Réda Caire - Si tu reviens.mp4,Réda Caire,Si tu reviens
Philippe Lafontaine - Alexis m'attend.mp4,Philippe Lafontaine,Alexis m'attend
Andy Williams - The days of wine and roses wvocals.mp4,Andy Williams,The days of wine and roses wvocals
Serge Lama - Femmes femmes femmes.mp4,Serge Lama,Femmes femmes femmes
William Sheller - Le carnet à spirale.mp4,William Sheller,Le carnet à spirale
Yves Duteil - Apprendre.mp4,Yves Duteil,Apprendre
Bee Gees - Too Much Heaven.mp4,Bee Gees,Too Much Heaven
Bobby Goldsboro - Honey.mp4,Bobby Goldsboro,Honey
Bing Crosby - Stardust.mp4,Bing Crosby,Stardust
Jacques Dutronc - On nous cache tout on nous dit rien.mp4,Jacques Dutronc,On nous cache tout on nous dit rien
Céline Dion - L'amour existe encore.mp4,Céline Dion,L'amour existe encore
Tom Jones - Love me tonight.mp4,Tom Jones,Love me tonight
Lucky Blondo - Sur ton visage une larme.mp4,Lucky Blondo,Sur ton visage une larme
Alain Souchon - Poulailler's Song.mp4,Alain Souchon,Poulailler's Song
Johnny Hallyday - Oh ma jolie Sarah.mp4,Johnny Hallyday,Oh ma jolie Sarah
Lynda Lemay - Ceux que l'on met au monde (Live).mp4,Lynda Lemay,Ceux que l'on met au monde (Live)
Renaud - Mistral gagnant.mp4,Renaud,Mistral gagnant
Ronnie Milsap - I'd be a legend in my time.mp4,Ronnie Milsap,I'd be a legend in my time
France Gall - Ella elle l'a.mp4,France Gall,Ella elle l'a
Alain Souchon - Maman bobo.mp4,Alain Souchon,Maman bobo
Pam Tillis - Mi vida loca - my crazy life.mp4,Mi vida loca,my crazy life
Jimmy Somerville - Comment te dire adieu .mp4,Jimmy Somerville,Comment te dire adieu 
The New Seekers - Look What They've Done To My Song.mp4,The New Seekers,Look What They've Done To My Song
The Drifters - This Magic Moment.mp4,The Drifters,This Magic Moment
Nini Ferrer - Les cornichons.mp4,Nini Ferrer,Les cornichons
Carlos - Je préfère manger à la cantine.mp4,Carlos,Je préfère manger à la cantine
Eddy Mitchell - La fille du motel.mp4,Eddy Mitchell,La fille du motel
Mireille Mathieu - Un peu de bleu.mp4,Mireille Mathieu,Un peu de bleu
Jane Birkin - La gadoue.mp4,Jane Birkin,La gadoue
Mary Hopin - Knock Knock Who's There.mp4,Mary Hopin,Knock Knock Who's There
Bing Crosby - You are my sunshine.mp4,Bing Crosby,You are my sunshine
Lipps - Funkytown wvocal.mp4,Lipps,Funkytown wvocal
Paul Anka - The hungry years.mp4,Paul Anka,The hungry years
nfo.nfo,nfo.nfo,
Patriotic - God bless America.mp4,Patriotic,God bless America
Daniel Balavoine - Je ne suis pas un héros.mp4,Daniel Balavoine,Je ne suis pas un héros
Elton John - Crocodile rock.mp4,Elton John,Crocodile rock
Whitney Houston - I'm every woman wvocals.mp4,Whitney Houston,I'm every woman wvocals
KC & the Sunshine band - Boogie Shoes.mp4,KC & the Sunshine band,Boogie Shoes
Roméo - Maman.mp4,Roméo,Maman
Ginette Reno - Je ne suis qu'une chanson.mp4,Ginette Reno,Je ne suis qu'une chanson
Dean Martin (also done by Frank Sinatra) - When you're smiling.mp4,Dean Martin (also done by Frank Sinatra),When you're smiling
Sacha Distel - A cause de toi.mp4,Sacha Distel,A cause de toi
Michael Martin Murphy - What's Forever For.mp4,Michael Martin Murphy,What's Forever For
Zaz - Les passants.mp4,Zaz,Les passants
Nolwenn Leroy - Cassé.mp4,Nolwenn Leroy,Cassé
Chic - Good times.mp4,Chic,Good times
Felix Leclerc - Le p'tit bonheur.mp4,Felix Leclerc,Le p'tit bonheur
M Pokora - Ecris l'histoire.mp4,M Pokora,Ecris l'histoire
Jean-Luc Lahaye - Plus jamais.mp4,Jean-Luc Lahaye,Plus jamais
Showtunes - Seventy six trombones.mp4,Showtunes,Seventy six trombones
Fiddler on the Roof - Sunrise Sunset.mp4,Fiddler on the Roof,Sunrise Sunset
Elton John - Candle In The Wind.mp4,Elton John,Candle In The Wind
Starmania - Ce soir on danse à Naziland (choeurs) [BDFab].avi,Starmania,Ce soir on danse à Naziland (choeurs) [BDFab]
Yves Duteil - La langue de chez nous.mp4,Yves Duteil,La langue de chez nous
PMV06-05 - Cher - Believe.mkv,Cher,Believe
Renaud - Manhattan-Kabou (avec Axel Red).mp4,Renaud,Manhattan-Kabou (avec Axel Red)
Laurent Voulzy - Le soleil donne.mp4,Laurent Voulzy,Le soleil donne
Tom Jones - Delilah.mp4,Tom Jones,Delilah
Frank Sinatra - I' ve Got A Crush On You.mp4,Frank Sinatra,I' ve Got A Crush On You
We Love Disney - Tout le monde veut devenir un cat.mp4,We Love Disney,Tout le monde veut devenir un cat
Ritchie Valens - Donna.mp4,Ritchie Valens,Donna
Christophe Maé - J'ai laissé.mp4,Christophe Maé,J'ai laissé
Vera Lynn - When The Lights Go On Again.mp4,Vera Lynn,When The Lights Go On Again
Alain Barrière - A regarder la mer.mp4,Alain Barrière,A regarder la mer
Eddy Mitchell - Daniela.mp4,Eddy Mitchell,Daniela
Kids United - Tout le bonheur du monde.mp4,Kids United,Tout le bonheur du monde
Michel Sardou - Le France.mp4,Michel Sardou,Le France
Herbert Léonard - Quelque chose en moi tient mon coeur.mp4,Herbert Léonard,Quelque chose en moi tient mon coeur
Pierre Grocolas - Lady Lay.mp4,Pierre Grocolas,Lady Lay
DEK0536-08 - Everly Bros - Oh Lonsesome Me.mkv,Everly Bros,Oh Lonsesome Me
Coeur de Pirate - Pour une infidèle.mp4,Coeur de Pirate,Pour une infidèle
Diana ross & The Supremes - Stop in the name of love.mp4,Diana ross & The Supremes,Stop in the name of love
Nicolas Peyrac - Je pars (le vol de nuit s'en va).mp4,Nicolas Peyrac,Je pars (le vol de nuit s'en va)
Crystal Gale - Never Ending Song Of Love.mp4,Crystal Gale,Never Ending Song Of Love
The Spinners - Working my way back to you.mp4,The Spinners,Working my way back to you
Eric Clapton - Layla (got me on my knees) wvocals.mp4,Eric Clapton,Layla (got me on my knees) wvocals
Daniel Balavoine - Quand on arrive en ville.mp4,Daniel Balavoine,Quand on arrive en ville
Vianney - Tombe la neige.mp4,Vianney,Tombe la neige
Bee Gees - Tragedy.mp4,Bee Gees,Tragedy
Sylvie Vartan - Dancing star.mp4,Sylvie Vartan,Dancing star
Italian - Sicilian medley.mp4,Italian,Sicilian medley
Jenifer - Paradis secret.mp4,Jenifer,Paradis secret
Charles Aznavour - Mes emmerdes.mp4,Charles Aznavour,Mes emmerdes
Hélène Segara - Elle tu l'aimes.mp4,Hélène Segara,Elle tu l'aimes
Guy Béart - La vérité.mp4,Guy Béart,La vérité
Sheena Easton - Morning Train (9-5)A.mp4,Sheena Easton,Morning Train (9-5)A
Khaled - Même pas fatigué (avec Magic System).mp4,Khaled,Même pas fatigué (avec Magic System)
Sheila - Le rêve.mp4,Sheila,Le rêve
Crystal Gale - When I dream.mp4,Crystal Gale,When I dream
Perry Como - Its impossible.mp4,Perry Como,Its impossible
Tony Orlando & Dawn - He Don't Love You (Like I Love You).mp4,Tony Orlando & Dawn,He Don't Love You (Like I Love You)
Bee Gees - Night fever.mp4,Bee Gees,Night fever
Doris Day - Secret Love.mp4,Doris Day,Secret Love
Richard Anthony - Tu parles trop.mp4,Richard Anthony,Tu parles trop
Yves Montand - A bicyclette.mp4,Yves Montand,A bicyclette
Kelly Joyce - Vivre la vie.mp4,Kelly Joyce,Vivre la vie
Richard Rogers - A Fellow Needs A Girl.mp4,Richard Rogers,A Fellow Needs A Girl
Benny B - Mais vous êtes fous.mp4,Benny B,Mais vous êtes fous
Bay City Rollers - Saturday night.mp4,Bay City Rollers,Saturday night
Michel Sardou - La même eau qui coule.mp4,Michel Sardou,La même eau qui coule
Irish - (paddy oke) The Old Bog Road.mp4,Irish,(paddy oke) The Old Bog Road
Traditional - Rum And Coca Cola.mp4,Traditional,Rum And Coca Cola
Peter Cetera and Amy Grant - The Next Time I Fall.mp4,Peter Cetera and Amy Grant,The Next Time I Fall
Children's - Mary Had A Little Lamb.mp4,Children's,Mary Had A Little Lamb
Tal - On avance.mp4,Tal,On avance
Francis Cabrel - Je t'aimais je t'aime et je t'aimerai.mp4,Francis Cabrel,Je t'aimais je t'aime et je t'aimerai
Michel Sardou - Le livre du temps.mp4,Michel Sardou,Le livre du temps
Eddy Mitchell - Le cimetière des éléphants.mp4,Eddy Mitchell,Le cimetière des éléphants
The Tymes - So Much In Love.mp4,The Tymes,So Much In Love
Salvatore Adamo - Et sur la mer.mp4,Salvatore Adamo,Et sur la mer
Salvatore Adamo - F comme femme.mp4,Salvatore Adamo,F comme femme
Arnold Turboust & Zabou - Adélaïde.mp4,Arnold Turboust & Zabou,Adélaïde
Richard Anthony - Itsy bitsy petit bikini.mp4,Richard Anthony,Itsy bitsy petit bikini
Enzo Enzo - Juste quelqu'un de bien.mp4,Enzo Enzo,Juste quelqu'un de bien
Fiddler On The Roof - To Life (La Chaim).mp4,Fiddler On The Roof,To Life (La Chaim)
Stone & Charden - Il y a du soleil sur la France.mp4,Stone & Charden,Il y a du soleil sur la France
Lara Fabian - Croire.mp4,Lara Fabian,Croire
Spanish Ballades - Lo se.mp4,Spanish Ballades,Lo se
Michel Sardou - Du plaisir.mp4,Michel Sardou,Du plaisir
Judy Garland - Over the rainbow.mp4,Judy Garland,Over the rainbow
Soeur Sourire - Dominique.mp4,Soeur Sourire,Dominique
Blues Trottoir - Un soir de pluie.mp4,Blues Trottoir,Un soir de pluie
France Gall - Laisse tomber les filles.mp4,France Gall,Laisse tomber les filles
Illona Mitrecey - Un monde parfait.mp4,Illona Mitrecey,Un monde parfait
Alain Bashung - Osez Joséphine.mp4,Alain Bashung,Osez Joséphine
Frank Sinatra - Embraceable you wvocals.mp4,Frank Sinatra,Embraceable you wvocals
"Traditional - Swing low, sweet chariot (vocals).mp4",Traditional,"Swing low, sweet chariot (vocals)"
Brook Benton - A rainy night in Georgia.mp4,Brook Benton,A rainy night in Georgia
Louis Armstrong - What a wonderful world.mp4,Louis Armstrong,What a wonderful world
George Strait - Amarillo by morning.mp4,George Strait,Amarillo by morning
Irish - When Irish eyes are smiling (Std).mp4,Irish,When Irish eyes are smiling (Std)
Serge Lama - D'aventures en aventures .mp4,Serge Lama,D'aventures en aventures 
Isabelle Boulay - Mieux qu'ici-bas.mp4,Isabelle Boulay,Mieux qu'ici-bas
Tino Rossi - Le tango de Marilou.mp4,Tino Rossi,Le tango de Marilou
Renaud - La blanche.mp4,Renaud,La blanche
Frank Sinatra - Lets face the music and dance.mp4,Frank Sinatra,Lets face the music and dance
Showtunes - Aspects of Love - Love changes everything.mp4,Aspects of Love,Love changes everything
Michel Sardou - Même si.mp4,Michel Sardou,Même si
Zouk Machine - Maldon (La musique dans la peau).mp4,Zouk Machine,Maldon (La musique dans la peau)
M Pokora - Le monde.mp4,M Pokora,Le monde
Gipsy Kings - A mi manera.mp4,Gipsy Kings,A mi manera
Englebert Humperdink - The last waltz.mp4,Englebert Humperdink,The last waltz
Jean Murat - Les gars de la marine.mp4,Jean Murat,Les gars de la marine
John Denver - Country roads (wvocals).mp4,John Denver,Country roads (wvocals)
Johnny Hallyday - Allumer le feu.mp4,Johnny Hallyday,Allumer le feu
Georges Moustaki - Ma liberté.mp4,Georges Moustaki,Ma liberté
Whitney Houston - I'm your baby tonight.mp4,Whitney Houston,I'm your baby tonight
Brigitte Bardot - Bonnie And Clyde (avec Serge Gainsbourg).mp4,Brigitte Bardot,Bonnie And Clyde (avec Serge Gainsbourg)
Lionel Richie - Running With The Night.mp4,Lionel Richie,Running With The Night
Stephan Eicher - Silence.mp4,Stephan Eicher,Silence
Showtunes - Cabaret - cabaret wvocals.mp4,Cabaret,cabaret wvocals
France Gall - Comment lui dire.mp4,France Gall,Comment lui dire
C. Jérôme - Kiss Me.mp4,C. Jérôme,Kiss Me
Amel Bent  - Ma philosophie .mp4,Amel Bent ,Ma philosophie 
France Gall - Calypso.mp4,France Gall,Calypso
Doris Day - Dream A Little Dream Of Me.mp4,Doris Day,Dream A Little Dream Of Me
Francis Lalane - On se retrouvera.mp4,Francis Lalane,On se retrouvera
Elvis Presley - Viva Las Vegas.mp4,Elvis Presley,Viva Las Vegas
Cat Stevens - Another saturday night.mp4,Cat Stevens,Another saturday night
Razzle Dazzle - Chicago.mp4,Razzle Dazzle,Chicago
Karaoké Désolé - Sexion d'Assaut _.mp4,Karaoké Désolé,Sexion d'Assaut _
Florent Pagny - L'hymne à l'amour.mp4,Florent Pagny,L'hymne à l'amour
Larusso - Tu m'oublieras.mp4,Larusso,Tu m'oublieras
Marvin Gaye - I heard it through the grapevine.mp4,Marvin Gaye,I heard it through the grapevine
Enrico Macias - Paris tu m'a pris dans tes bras.mp4,Enrico Macias,Paris tu m'a pris dans tes bras
Bourvil - C'était bien au petit bal perdu.mp4,Bourvil,C'était bien au petit bal perdu
The Penguins - Earth Angel.mp4,The Penguins,Earth Angel
France Gall - Hong Kong Star..mp4,France Gall,Hong Kong Star
Line Renaud - Ma p'tite folie.mp4,Line Renaud,Ma p'tite folie
Francis Cabrel - La corrida.mp4,Francis Cabrel,La corrida
Yves Montand - Le temps des cerises.mp4,Yves Montand,Le temps des cerises
The Sylvers - Boogie fever.mp4,The Sylvers,Boogie fever
Hélène Rolles - Pour l'amour d'un garçon.mp4,Hélène Rolles,Pour l'amour d'un garçon
Hall & Oates - Private eyes wvocals.mp4,Hall & Oates,Private eyes wvocals
Debbie Boone - You light up my life.mp4,Debbie Boone,You light up my life
Lionel Richie - (with Diana Ross) Endless love.mp4,Lionel Richie,(with Diana Ross) Endless love
Al Jolson - The Anniversary song.mp4,Al Jolson,The Anniversary song
Isabelle Boulay - Jamais assez loin.mp4,Isabelle Boulay,Jamais assez loin
Chicago - Color my world.mp4,Chicago,Color my world
Irish - Danny boy (traditional).mp4,Irish,Danny boy (traditional)
Yves Simon - J't'aimais j't'aime plus.mp4,Yves Simon,J't'aimais j't'aime plus
Francis Lemarque - A Paris.mp4,Francis Lemarque,A Paris
Pierre Bachelet - Le no man's land.mp4,Pierre Bachelet,Le no man's land
Jessie Garon - C'est lundi.mp4,Jessie Garon,C'est lundi
Bobby Vee - Take Good Care Of My Baby.mp4,Bobby Vee,Take Good Care Of My Baby
Indochine - Canary Bay.mp4,Indochine,Canary Bay
Gospel - When the roll is called up yonder.mp4,Gospel,When the roll is called up yonder
Shirley & Lee - Let The Good Times Roll.mp4,Shirley & Lee,Let The Good Times Roll
Philippe Lavil - Avec les filles je ne sais pas.mp4,Philippe Lavil,Avec les filles je ne sais pas
"Englebert Humperdink - Quando, quando, quando.mp4",Englebert Humperdink,"Quando, quando, quando"
Serge Gainsbourg - Aux armes et caetera .mp4,Serge Gainsbourg,Aux armes et caetera 
Zaz - Si.mp4,Zaz,Si
Stevie Wonder - You are the sunshine of my life.mp4,Stevie Wonder,You are the sunshine of my life
Nana Mouskouri - L'amour en héritage.mp4,Nana Mouskouri,L'amour en héritage
Lionel Richie - Three times a lady.mp4,Lionel Richie,Three times a lady
Englebert Humperdink - Release me.mp4,Englebert Humperdink,Release me
Serge Gainsbourg - Sea Sex & Sun..mp4,Serge Gainsbourg,Sea Sex & Sun
German - Bier Her Bier Her wvocals.mp4,German,Bier Her Bier Her wvocals
Elvis Presley - Little sister.mp4,Elvis Presley,Little sister
Gilbert Bécaud - Le jour où la pluie viendra.mp4,Gilbert Bécaud,Le jour où la pluie viendra
Fleetwood Mac - Gypsy wvocals.mp4,Fleetwood Mac,Gypsy wvocals
Rick Allison - Je me pardonne.mp4,Rick Allison,Je me pardonne
Tino Rossi - Chantons ensemble la même chanson (avec Laurent Rossi).mp4,Tino Rossi,Chantons ensemble la même chanson (avec Laurent Rossi)
Michael Bolton - Love Is A Wonderful Thing.mp4,Michael Bolton,Love Is A Wonderful Thing
Mitch Miller - I love my baby.mp4,Mitch Miller,I love my baby
Henri Salvador - Faut rigoler.mp4,Henri Salvador,Faut rigoler
Jacques Brel - Amsterdam.mp4,Jacques Brel,Amsterdam
MPV16-10 - Smash Mouth - I'm a Believer.mp4,Smash Mouth,I'm a Believer
Dick Rivers - Les yeux d'une femme.mp4,Dick Rivers,Les yeux d'une femme
Pierre Perret - Vaisselle cassée.mp4,Pierre Perret,Vaisselle cassée
Sheila - L'école est finie.mp4,Sheila,L'école est finie
